subj,task,ord,paint,price,cons,resp,zresp,rt,zrt,conf,zconf,belcons,zbelcons,cor,zcor,corb,respcons,zrespcons,respconsb
35,1,1,11,3000000,0.583333333333333,2,0.301511344577763,2.226,-0.684065992887288,3,-0.471196729360922,2,-1.06045729756997,1,0.720749970156447,1,0.583333333333333,0.108187241154126,1
35,1,1,12,2500000,0.847826086956522,2,0.301511344577763,3.67,-0.130060780476046,10,1.10628797328216,10,1.16145323067187,1,0.720749970156447,1,0.847826086956522,1.69030651199104,1
36,1,1,1,1,0.6875,1,-0.957427107756338,1.883,-0.042257905329307,5,-0.79854940950469,5,-0.21964884255349,1,1.35400640077266,1,0.6875,1.24014454359528,1
36,1,1,2,1,0.604166666666667,1,-0.957427107756338,1.507,-0.481584331241368,8,0.998186761880863,9,1.53754189787443,1,1.35400640077266,1,0.395833333333333,-0.445522906053579,0
36,1,1,3,311,0.541666666666667,2,0.957427107756338,1.193,-0.848468633731759,7,0.399274704752345,7,0.658946527660469,0,-0.67700320038633,0,0.541666666666667,0.397310818770851,1
36,1,1,4,534,0.6875,2,0.957427107756338,3.344,1.66480568046197,5,-0.79854940950469,4,-0.658946527660469,0,-0.67700320038633,0,0.3125,-0.927142177381825,0
36,1,1,5,2670,0.608695652173913,2,0.957427107756338,3.909,2.32496374067557,6,-0.199637352376172,4,-0.658946527660469,0,-0.67700320038633,0,0.608695652173913,0.784700232665311,1
36,1,1,6,5340,0.617021276595745,2,0.957427107756338,1.621,-0.348384297853136,8,0.998186761880863,1,-1.97683958298141,0,-0.67700320038633,0,0.382978723404255,-0.519815240460596,0
36,1,1,7,17800,0.520833333333333,1,-0.957427107756338,1.173,-0.871837060641975,8,0.998186761880863,7,0.658946527660469,0,-0.67700320038633,0,0.479166666666667,0.0360963652746672,0
36,1,1,8,26700,0.775510204081633,1,-0.957427107756338,1.673,-0.287626387886575,4,-1.39746146663321,7,0.658946527660469,0,-0.67700320038633,0,0.224489795918367,-1.43579110169278,0
36,1,1,9,178000,0.591836734693878,1,-0.957427107756338,1.799,-0.140405298352214,5,-0.79854940950469,5,-0.21964884255349,0,-0.67700320038633,0,0.408163265306122,-0.37426291182644,0
36,1,1,10,267000,0.630434782608696,2,0.957427107756338,1.268,-0.760837032818449,8,0.998186761880863,3,-1.09824421276745,1,1.35400640077266,1,0.369565217391304,-0.59733767636357,0
36,1,1,11,3000000,0.583333333333333,1,-0.957427107756338,2.153,0.273215857958609,8,0.998186761880863,8,1.09824421276745,0,-0.67700320038633,0,0.416666666666667,-0.325118088221517,0
36,1,1,12,2500000,0.847826086956522,2,0.957427107756338,1.507,-0.481584331241368,4,-1.39746146663321,6,0.21964884255349,1,1.35400640077266,1,0.847826086956522,2.16673814169419,1
37,1,1,1,1,0.6875,1,-0.957427107756338,7.386,0.907104203039787,4,-0.258984885141406,5,-0.474341649025257,1,0.957427107756338,1,0.6875,0.900487336290994,1
37,1,1,2,1,0.604166666666667,1,-0.957427107756338,4.891,0.0454429879310836,7,1.29492442570703,8,1.89736659610103,1,0.957427107756338,1,0.395833333333333,-0.795464327795232,0
37,1,1,4,534,0.6875,1,-0.957427107756338,2.687,-0.71571986501464,4,-0.258984885141406,5,-0.474341649025257,1,0.957427107756338,1,0.6875,0.900487336290994,1
37,1,1,5,2670,0.608695652173913,2,0.957427107756338,5.419,0.227790531649478,4,-0.258984885141406,5,-0.474341649025257,0,-0.957427107756338,0,0.608695652173913,0.442264371149685,1
37,1,1,6,5340,0.617021276595745,2,0.957427107756338,6.921,0.746514036696882,4,-0.258984885141406,5,-0.474341649025257,0,-0.957427107756338,0,0.382978723404255,-0.870209917853744,0
